Week no.,Deaths not involving COVID,All deaths - 5-year average,COVID-19
Week 1,12 254,12 175,0
Week 2,14 058,13 822,0
Week 3,12 990,13 216,0
Week 4,11 856,12 760,0
Week 5,11 612,12 206,0
Week 6,10 986,11 925,0
Week 7,10 944,11 627,0
Week 8,10 841,11 548,0
Week 9,10 816,11 183,0
Week 10,10 895,11 498,0
Week 11,11 014,11 205,5
Week 12,10 542,10 573,103
Week 13,10 602,10 130,539
Week 14,12 912,10 305,3 475
Week 15,12 303,10 520,6 213
Week 16,13 593,10 497,8 758
Week 17,13 760,10 458,8 237
Week 18,11 918,9 941,6 035
