date,Germany,United Kingdom,United States
2020-03-23,7.7,8,8
2020-03-24,6.9,7.9,7.3
2020-03-25,7.6,7.3,7.5
2020-03-26,7.4,8,7.6
2020-03-27,7.2,7.4,7.7
2020-03-28,7.3,7.6,7.5
2020-03-29,7.1,7.5,7.9
2020-03-30,6.9,7.6,7.3
2020-03-31,6.9,7.6,7.4
2020-04-01,7.2,7.9,7.3
2020-04-02,7.1,7.3,8.1
2020-04-03,6.8,7.3,7.4
2020-04-04,6.9,7.6,7.6
2020-04-05,7.5,7.7,8.1
2020-04-06,7,7.8,7.7
2020-04-07,7,7.6,7.4
2020-04-08,7.2,7.6,7.7
2020-04-09,6.7,7.6,7.7
2020-04-10,6.2,7.4,7.7
2020-04-11,6.5,7.8,7.7
2020-04-12,6.5,8,7.5
2020-04-13,7,8,7.8
2020-04-14,7.2,7.4,7.6
2020-04-15,6.5,7.7,7.7
2020-04-16,6.7,7.4,7.6
2020-04-17,6.8,7.5,7.5
2020-04-18,6.5,7.6,7.2
2020-04-19,6.8,7.4,7.7
2020-04-20,6.4,7.7,7.5
2020-04-21,6.7,7.1,7.4
2020-04-22,6.4,7.9,7
2020-04-23,6.8,7.3,7.2
2020-04-24,6.5,7,7.8
2020-04-25,6.5,7.6,7.5
2020-04-26,7,7.6,7.4
2020-04-27,6.8,7.4,7.3
2020-04-28,6.5,7.3,7.9
2020-04-29,6,7.6,7.5
2020-04-30,6.4,7.4,7.4
2020-05-01,6.3,7.4,7.7
2020-05-02,6.3,7.3,7.5
2020-05-03,6.4,7.2,7.3
2020-05-04,6.4,7.5,7.1
2020-05-05,6.3,7.2,7.4
2020-05-06,6.4,7.7,8.1
2020-05-07,6.1,7.1,6.9
2020-05-08,5.8,7,7.2
2020-05-09,6,7.5,7
2020-05-10,5.9,7.1,6.8
2020-05-11,6.5,7.1,7
2020-05-12,6.4,7.4,7.2
2020-05-13,6,7.8,7.3
2020-05-14,6.2,7.4,7.4
2020-05-15,5.9,7,7.2
2020-05-16,6,6.9,7.3
2020-05-17,6.2,7.4,7.5
2020-05-18,6,7.2,6.9
2020-05-19,6,7.5,7.4
2020-05-20,6,7.2,7.2
2020-05-21,5.6,7.1,7
2020-05-22,6,7.3,7
2020-05-23,6.1,7.1,7.3
2020-05-24,5.9,7,6.9
2020-05-25,6,7,6.6
2020-05-26,6.6,6.9,6.9
2020-05-27,5.3,7.8,6.9
2020-05-28,6,7.1,6.9
